YEAR,PERMNO,STDEV,E,F,QUICK,SelectionProb,SamplingWeight
1971,10233,0.445413178,183402000,98791500,2.7623898653,0.1146131805,8.725
1971,10890,0.391352535,1998728750,452412500,1.5702942653,0.1146131805,8.725
1971,11092,0.4013418854,143573250,26199500,2.7806300705,0.1146131805,8.725
1971,11164,0.244042062,180355625,6914000,4.2594479576,0.1146131805,8.725
1971,11746,0.3416209988,117476000,31056000,3.1801967733,0.1146131805,8.725
1971,12167,0.2496481594,173772000,2850000,1.8781469324,0.1146131805,8.725
1971,12984,0.6194201883,37065625,87974500,1.0058883479,0.1146131805,8.725
1971,13119,0.3014693096,460212500,0,4.4094602255,0.1146131805,8.725
1971,14461,0.6628549871,11203500,20045000,1.1735961651,0.1146131805,8.725
1971,14592,0.3354923912,1475846750,18478000,3.3431081698,0.1146131805,8.725
1971,14795,0.2399641219,350053000,5174000,3.5452317412,0.1146131805,8.725
1971,14920,0.4932790924,2672000,2231500,1.2842171453,0.1146131805,8.725
1971,15077,0.3290707252,105859000,17112500,2.2010045152,0.1146131805,8.725
1971,15763,0.3210380171,511271125,100164000,2.3262877567,0.1146131805,8.725
1971,15843,0.4118157318,33432875,7947000,1.8202627193,0.1146131805,8.725
1971,15966,0.2930236049,5836135000,809475500,1.5821045146,0.1146131805,8.725
1971,15974,0.4832680502,40520750,15082000,1.7131419857,0.1146131805,8.725
1971,16678,0.242832241,493860500,55570500,1.3830518908,0.1146131805,8.725
1971,18112,0.5169525998,50606250,29785500,1.2733158272,0.1146131805,8.725
1971,18147,0.3538239297,432796000,45916000,2.6487840087,0.1146131805,8.725
1971,18200,0.4464128284,164468500,16819500,1.7410853832,0.1146131805,8.725
1971,18331,0.4919579382,69296625,143735000,1.3181186385,0.1146131805,8.725
1971,18403,0.2544237346,2830684500,139100000,1.6106553948,0.1146131805,8.725
1971,19035,0.6136315151,13532750,28350500,1.1317003802,0.1146131805,8.725
